"","baseMean","log2FoldChange","lfcSE","pvalue","padj","significant"
"TMEM51",248.96938271072,13.2178286384261,3.19920834094383,3.2197461301444e-23,1.90048651448134e-22,"Up"
"RASSF10",248.989818482027,13.4595800129656,3.47427865621438,3.24547337271919e-23,1.91494081819892e-22,"Up"
"SELENBP1",247.074616756,13.6486742918604,3.66906248218241,3.27461286879736e-23,1.93139666647044e-22,"Up"
"PHLDB2",155.220152219104,1.69575444756049,0.171511037722893,3.33170394040077e-23,1.96431976310619e-22,"Up"
"TSPAN4",477.266127828167,-1.44044756570262,0.146742028531457,3.40011642186859e-23,2.00389012460471e-22,"Down"
"YPEL1",988.624667950017,-0.620820607138047,0.0626986465356071,3.42541403608914e-23,2.01802985511572e-22,"Down"
"HCAR1",221.218571916566,12.4259122789773,2.40543562482112,3.47206686253761e-23,2.04473510772842e-22,"Up"
"EMP2",233.075823370801,12.3556802306488,2.3677488489562,3.47648021207175e-23,2.04655423684361e-22,"Up"
"BRPF1",761.730672120876,-1.71935824508502,0.175744516879455,3.5855316362097e-23,2.10994746284648e-22,"Down"
"ENO1",54757.6066372134,-0.407870691666602,0.0411783329886044,3.61500958102518e-23,2.12648431882688e-22,"Not Significant"
"APOBR",3115.06822034241,-2.32368384281018,0.238796020699346,3.72382345441583e-23,2.18965920247671e-22,"Down"
"TMEM125",253.347170836726,13.4405870075178,3.48711829093588,3.7638168028154e-23,2.21233400737567e-22,"Up"
"YLPM1",945.096244814979,-1.57026514554615,0.160369406456368,3.81267909078744e-23,2.24020266121438e-22,"Down"
"SAYSD1",500.231646193211,0.755072030213187,0.0764323593935794,3.82090664245546e-23,2.24418359353342e-22,"Up"
"C4orf19",231.316925943525,13.524196104826,3.58722137508997,3.96824592645156e-23,2.329836789569e-22,"Up"
"MCU",374.826724640021,1.04326901241548,0.105953182570996,4.1508721085154e-23,2.4361347015909e-22,"Up"
"STX11",1903.66545955318,-0.814971635168664,0.0826684295409552,4.19886701821926e-23,2.46336719941315e-22,"Down"
"SERPINB5",228.365140319947,13.3911715433173,3.477721953086,4.30754480674503e-23,2.52616659956854e-22,"Up"
"NPTN",1897.51741638023,0.580793135589892,0.058806736031138,4.3751345467223e-23,2.564831341066e-22,"Up"
"LCN2",227.477964628105,13.3500877742604,3.47439318126529,4.76449694417665e-23,2.79202773145096e-22,"Up"
"BAIAP3",73.2244130056556,2.24316168829208,0.230687389868255,4.79043300700141e-23,2.80616229178138e-22,"Up"
"TBX3",228.283625516117,13.086509633545,3.09328887964085,4.83276415931284e-23,2.82988649313609e-22,"Up"
"SEPTIN10",287.133915059408,9.97760469679828,0.960458504779824,4.85173732161254e-23,2.83992033450298e-22,"Up"
"CAMSAP2",129.364588203998,8.32592851967686,0.823110821517183,4.906163433734e-23,2.87069078157863e-22,"Up"
"SLC25A20",1011.02789831972,-0.639786817427632,0.0659665752141357,4.99040206923757e-23,2.91887521483453e-22,"Down"
"TTC7B",157.602427597261,-1.7472411723329,0.179150799393654,5.23702308879478e-23,3.06196435078115e-22,"Down"
"PDIA3",17579.3038970936,0.612531036357879,0.0621395130507386,5.29063271496669e-23,3.09213870440167e-22,"Up"
"GRTP1",110.519265573616,8.16211432886078,0.805418743039123,5.33094958909527e-23,3.1145241588011e-22,"Up"
"NCAPH",1245.3440590432,-0.525868938614625,0.0533384198210325,5.37909402771724e-23,3.14146409713963e-22,"Down"
"DAGLB",331.440982199078,1.33753232028216,0.136842322081469,5.76025934940637e-23,3.3627989318616e-22,"Up"
"MORC4",168.905611426653,1.3327105582581,0.134557973454406,5.89951739018517e-23,3.44279615674212e-22,"Up"
"RPL39L",271.216321434047,-1.66125916503631,0.170592437268715,5.91013720759884e-23,3.44769159188467e-22,"Down"
"KAT8",487.984074240242,-0.898492127220181,0.091475875776049,5.93398579246262e-23,3.4602974509783e-22,"Down"
"CD3D",876.472082634386,-0.992041180538317,0.101082055862996,5.99331687263631e-23,3.49357697596563e-22,"Down"
"KIF9",87.676156327428,1.73817044230542,0.178427282301232,6.18756471346547e-23,3.60544636188469e-22,"Up"
"NADK",2005.93311557037,1.03844806305372,0.105969513684818,6.3759482334473e-23,3.71381560691523e-22,"Up"
"ARHGAP5",910.711564969259,1.82271358527365,0.187497078513645,6.38742108152616e-23,3.71909638179442e-22,"Up"
"GALNT14",193.502010517682,12.7664696124914,2.84879794208451,6.62467085935527e-23,3.85578300525865e-22,"Up"
"ALDH3A2",1015.05700212965,0.7765643471334,0.0790669350565858,6.85788632947087e-23,3.99001948227836e-22,"Up"
"STK10",5968.18188246021,-1.72768900793249,0.17780610867355,6.94070065603424e-23,4.03668224455014e-22,"Down"
"ENSG00000290922",118.083686442911,-1.66400092616835,0.171108163137575,7.06464270136392e-23,4.10722060437083e-22,"Down"
"ENSG00000227619",152.323252450055,1.59717065476772,0.163992544628178,7.07276593897804e-23,4.11039684298712e-22,"Up"
"HSPD1P4",64.7706924068614,2.0094334508524,0.206854248089362,7.09958906681815e-23,4.12443420486995e-22,"Up"
"CIRBP",2939.19718311448,-0.704657161938559,0.0717674755667889,7.148676651485e-23,4.15139046581728e-22,"Down"
"AKAP13",3991.32037002344,-1.18383436445417,0.121183029781423,7.26072801133418e-23,4.21487715849538e-22,"Down"
"RACGAP1",2825.33052622513,-0.682073173307682,0.0694862899019203,7.57665451363242e-23,4.39662193763281e-22,"Down"
"PIWIL4",50.6182657620223,2.96651520749745,0.306533390871502,7.65321906061424e-23,4.43938416455224e-22,"Up"
"ARIH2",1801.22225442829,-0.511476753431147,0.052045010864398,7.81387937969453e-23,4.53087722530655e-22,"Down"
"HNRNPA3",9497.8731349678,-1.04977118530533,0.107448523902938,8.30967586441265e-23,4.81655743183678e-22,"Down"
"NCAM2",52.8754496669898,-4.02933303512694,0.414403382113913,8.32525750784427e-23,4.82377968761595e-22,"Down"
"TPK1",321.167783390929,-1.41844250594476,0.1457456464683,8.37376421297855e-23,4.85006665604039e-22,"Down"
"MRPS2",884.187432682753,1.06616812361481,0.10914880118391,8.38200439062339e-23,4.85302037648195e-22,"Up"
"LGALS17A",305.568799586742,13.3051093973298,3.48199784482431,8.47875807139092e-23,4.90720031749827e-22,"Up"
